=========== Gap ===========
103

========== Tempo ==========
125.253

========== Cores ==========
cor 1: 53 nodes
cor 2: 21 nodes
cor 3: 2 nodes
cor 4: 21 nodes
cor 5: 3 nodes

========== Grafo ==========
COR: 1 1-1
COR: 1 2-1
COR: 1 3-3
COR: 1 4-5
COR: 1 5-6
COR: 1 6-8
COR: 1 7-9
COR: 3 8-10
COR: 3 9-10
COR: 1 10-12
COR: 1 11-13
COR: 1 12-15
COR: 1 13-18
COR: 1 14-21
COR: 1 15-21
COR: 1 16-21
COR: 1 17-22
COR: 1 18-25
COR: 1 19-26
COR: 1 20-26
COR: 1 21-27
COR: 5 22-27
COR: 1 23-28
COR: 5 24-29
COR: 5 25-30
COR: 1 26-30
COR: 1 27-36
COR: 1 28-38
COR: 1 29-40
COR: 1 30-42
COR: 1 31-42
COR: 1 32-43
COR: 1 33-46
COR: 1 34-46
COR: 1 35-47
COR: 1 36-47
COR: 1 37-47
COR: 1 38-47
COR: 1 39-48
COR: 1 40-51
COR: 1 41-51
COR: 1 42-55
COR: 1 43-56
COR: 1 44-58
COR: 1 45-59
COR: 1 46-59
COR: 1 47-60
COR: 1 48-63
COR: 1 49-65
COR: 1 50-65
COR: 1 51-66
COR: 1 52-67
COR: 1 53-68
COR: 1 54-69
COR: 1 55-72
COR: 4 56-74
COR: 1 57-74
COR: 1 58-74
COR: 1 59-75
COR: 4 60-76
COR: 4 61-77
COR: 4 62-77
COR: 4 63-77
COR: 4 64-77
COR: 4 65-77
COR: 4 66-78
COR: 4 67-78
COR: 4 68-78
COR: 4 69-79
COR: 4 70-79
COR: 4 71-80
COR: 4 72-80
COR: 4 73-80
COR: 4 74-81
COR: 4 75-81
COR: 4 76-82
COR: 4 77-83
COR: 2 78-83
COR: 4 79-83
COR: 4 80-84
COR: 2 81-84
COR: 2 82-87
COR: 2 83-87
COR: 2 84-89
COR: 2 85-89
COR: 2 86-89
COR: 2 87-91
COR: 2 88-91
COR: 2 89-92
COR: 2 90-92
COR: 2 91-94
COR: 2 92-94
COR: 2 93-95
COR: 2 94-95
COR: 2 95-95
COR: 2 96-97
COR: 2 97-97
COR: 2 98-98
COR: 2 99-98
COR: 2 100-99

